Age,Education_Level,Years_Experience,Job_Title,Location,Industry,Workclass,Gender,Hours_per_week,Marital_Status,Salary_USD
56,Bachelor's,8,HR Manager,Seattle,Healthcare,Private,Male,54,Divorced,83462
56,Master's,11,Business Analyst,Seattle,Healthcare,Government,Male,50,Married,104472
54,Bachelor's,18,Data Scientist,Chicago,Healthcare,Government,Female,52,Single,136865
26,High School,17,Data Analyst,Boston,Finance,Private,Male,33,Married,94711
60,PhD,4,Business Analyst,Bangalore,Finance,Government,Male,39,Divorced,35378
49,Bachelor's,1,Data Analyst,Miami,Healthcare,Self-employed,Male,40,Divorced,51741
28,PhD,6,ML Engineer,Seattle,Consulting,Government,Male,40,Divorced,140994
30,Bachelor's,9,Project Manager,New York,Tech,Government,Female,49,Single,125445
29,PhD,14,Data Scientist,Chennai,Retail,Government,Female,48,Single,53335
33,Bachelor's,6,Business Analyst,Mumbai,Finance,Government,Female,30,Single,38149
55,Master's,4,Software Engineer,Denver,Healthcare,Private,Male,31,Married,113170
54,PhD,14,Data Analyst,Chennai,Biotech,Self-employed,Female,38,Divorced,36220
44,Bachelor's,19,Research Scientist,New York,Finance,Private,Male,46,Divorced,186971
45,Bachelor's,19,Data Engineer,Delhi,Tech,Government,Male,34,Divorced,59875
58,Master's,14,Business Analyst,Mumbai,Finance,Government,Female,31,Single,42386
56,Master's,9,Project Manager,Atlanta,Tech,Government,Male,33,Divorced,96210
43,Master's,13,Data Scientist,Austin,Tech,Government,Male,56,Married,118476
48,PhD,9,Business Analyst,Denver,Finance,Government,Female,36,Married,103269
56,PhD,16,Data Scientist,Boston,Tech,Self-employed,Female,50,Single,140989
22,Master's,13,HR Manager,Boston,Finance,Private,Male,46,Single,99824
56,High School,1,Data Analyst,Seattle,Finance,Government,Male,32,Single,55000
58,High School,15,Business Analyst,Boston,Consulting,Self-employed,Male,55,Divorced,106558
35,Bachelor's,12,Business Analyst,Miami,Biotech,Private,Male,38,Divorced,97467
24,High School,8,Project Manager,San Diego,Retail,Private,Female,30,Divorced,110368
22,Bachelor's,6,Project Manager,Seattle,Tech,Private,Female,55,Married,95987
26,PhD,15,Data Engineer,Denver,Finance,Government,Male,49,Married,146515
47,PhD,9,Software Engineer,Austin,Tech,Government,Female,50,Divorced,107682
35,High School,8,Data Scientist,Bangalore,Finance,Self-employed,Male,45,Married,48984
60,PhD,6,Marketing Manager,Bangalore,Retail,Self-employed,Female,55,Married,35514
48,Master's,15,Data Engineer,Hyderabad,Finance,Private,Female,32,Single,54839
30,Master's,8,Project Manager,San Diego,Finance,Government,Male,48,Divorced,101366
36,High School,16,Marketing Manager,San Francisco,Biotech,Private,Female,45,Married,131994
36,High School,19,ML Engineer,Hyderabad,Tech,Private,Male,30,Married,67259
47,Bachelor's,6,Marketing Manager,Hyderabad,Biotech,Self-employed,Female,51,Divorced,34963
34,PhD,10,Data Analyst,Boston,Biotech,Government,Female,58,Divorced,79125
53,Bachelor's,7,Business Analyst,Mumbai,Biotech,Self-employed,Male,41,Single,38674
60,Bachelor's,6,Project Manager,Denver,Biotech,Government,Female,49,Single,104925
53,Master's,18,Business Analyst,Denver,Consulting,Private,Female,53,Divorced,119957
25,Master's,19,Data Engineer,Boston,Tech,Private,Male,35,Married,153628
51,Master's,11,HR Manager,Mumbai,Tech,Private,Female,32,Single,36023
58,Master's,6,Project Manager,Delhi,Finance,Government,Female,57,Divorced,39686
44,Bachelor's,7,Project Manager,Hyderabad,Tech,Private,Male,36,Single,39486
60,Master's,6,Research Scientist,Bangalore,Retail,Government,Male,32,Married,51994
36,PhD,5,Business Analyst,San Diego,Biotech,Government,Female,42,Married,86968
50,Master's,8,Project Manager,New York,Healthcare,Self-employed,Female,45,Divorced,136809
57,Master's,12,HR Manager,San Diego,Tech,Private,Male,43,Single,88765
34,Master's,6,HR Manager,Hyderabad,Healthcare,Self-employed,Male,38,Married,34875
53,High School,7,Data Analyst,New York,Retail,Government,Female,37,Married,87194
28,PhD,16,Data Scientist,Seattle,Consulting,Private,Female,44,Single,140968
43,PhD,16,Project Manager,Kolkata,Finance,Private,Male,48,Divorced,49602
49,Bachelor's,15,HR Manager,Miami,Finance,Government,Female,42,Single,83617
23,Bachelor's,1,HR Manager,Chicago,Finance,Private,Female,43,Single,68000
27,Master's,7,Data Analyst,Denver,Consulting,Government,Male,40,Single,67794
49,High School,16,Research Scientist,Bangalore,Biotech,Private,Female,47,Single,60039
49,Bachelor's,12,Data Scientist,Miami,Healthcare,Private,Female,32,Single,116509
41,Bachelor's,17,Software Engineer,New York,Tech,Government,Male,58,Married,168703
51,Master's,9,Project Manager,San Diego,Biotech,Self-employed,Female,33,Divorced,105083
32,Master's,1,Software Engineer,Seattle,Finance,Government,Female,32,Divorced,90108
49,Bachelor's,1,Software Engineer,Mumbai,Finance,Private,Male,54,Married,40131
46,Bachelor's,13,Data Engineer,Boston,Biotech,Government,Male,42,Divorced,145037
60,PhD,15,Research Scientist,San Francisco,Healthcare,Government,Male,45,Divorced,189782
54,High School,6,Data Engineer,Bangalore,Biotech,Government,Female,57,Single,50341
22,PhD,11,Business Analyst,Boston,Consulting,Private,Female,42,Divorced,99415
48,Bachelor's,13,Marketing Manager,Boston,Finance,Self-employed,Female,56,Single,100928
34,PhD,3,Data Analyst,Miami,Healthcare,Self-employed,Female,39,Divorced,61268
24,PhD,3,HR Manager,San Francisco,Tech,Private,Male,47,Married,84427
60,Bachelor's,17,HR Manager,Kolkata,Finance,Self-employed,Male,37,Divorced,41111
27,Master's,2,Data Scientist,San Diego,Biotech,Government,Male,36,Married,113752
29,Bachelor's,0,Research Scientist,Kolkata,Healthcare,Government,Female,46,Single,48092
48,Master's,16,HR Manager,Austin,Finance,Self-employed,Male,51,Single,91150
30,Bachelor's,6,Data Engineer,Denver,Tech,Self-employed,Female,35,Single,122321
58,Bachelor's,15,Marketing Manager,Miami,Tech,Self-employed,Female,44,Single,96024
54,Bachelor's,4,Data Engineer,San Diego,Retail,Government,Female,38,Married,122777
45,High School,18,Software Engineer,Seattle,Biotech,Government,Male,57,Divorced,135765
36,Master's,6,Business Analyst,Seattle,Consulting,Private,Female,39,Single,86587
53,High School,13,HR Manager,Mumbai,Biotech,Private,Female,56,Single,39680
53,Bachelor's,1,Software Engineer,Delhi,Healthcare,Government,Male,37,Single,38904
45,PhD,2,HR Manager,Denver,Biotech,Government,Male,36,Married,82082
33,High School,16,Project Manager,San Diego,Healthcare,Private,Female,58,Married,116104
60,Master's,15,ML Engineer,Miami,Retail,Private,Female,52,Married,147430
23,Bachelor's,7,Data Analyst,San Francisco,Retail,Government,Female,34,Divorced,77351
24,High School,17,Data Analyst,Seattle,Retail,Self-employed,Male,47,Divorced,82708
58,PhD,14,HR Manager,Hyderabad,Consulting,Government,Male,45,Single,38090
38,High School,6,Marketing Manager,Hyderabad,Retail,Self-employed,Male,44,Married,30281
23,Master's,8,Research Scientist,San Diego,Biotech,Government,Male,39,Divorced,139649
23,High School,5,Data Scientist,San Francisco,Tech,Private,Male,58,Divorced,143869
49,PhD,17,Marketing Manager,San Diego,Healthcare,Private,Female,57,Married,116005
44,PhD,17,Research Scientist,Austin,Healthcare,Private,Female,50,Divorced,137848
58,Master's,13,Marketing Manager,Atlanta,Tech,Government,Female,30,Married,91994
53,PhD,13,Project Manager,Hyderabad,Biotech,Government,Female,56,Married,45864
54,Bachelor's,13,Marketing Manager,Denver,Consulting,Government,Male,55,Married,96630
22,PhD,3,Data Scientist,Chennai,Finance,Self-employed,Male,35,Single,45586
40,Bachelor's,3,Data Analyst,Delhi,Biotech,Government,Female,44,Divorced,23992
23,High School,14,Marketing Manager,Chicago,Retail,Self-employed,Female,31,Single,104937
47,Bachelor's,14,Data Engineer,Seattle,Biotech,Self-employed,Male,41,Married,141461
53,Bachelor's,17,Research Scientist,San Diego,Healthcare,Self-employed,Female,30,Divorced,153499
27,High School,13,Business Analyst,Miami,Healthcare,Private,Female,44,Divorced,108107
53,PhD,0,Research Scientist,Chennai,Consulting,Self-employed,Male,42,Single,47194
25,Bachelor's,9,Data Analyst,Kolkata,Retail,Self-employed,Female,30,Single,31828
32,PhD,19,Marketing Manager,Bangalore,Consulting,Private,Male,30,Divorced,45092
38,High School,9,Data Engineer,Kolkata,Consulting,Self-employed,Female,33,Single,55515
59,Master's,9,Marketing Manager,Chennai,Tech,Government,Female,57,Single,37677
45,PhD,1,Marketing Manager,San Diego,Finance,Government,Female,59,Married,75643
26,PhD,7,HR Manager,Miami,Finance,Private,Male,50,Divorced,85916
55,Master's,0,Project Manager,New York,Retail,Private,Male,43,Married,102842
27,Master's,0,Data Scientist,Austin,Consulting,Self-employed,Male,50,Married,98128
43,High School,3,Project Manager,Delhi,Healthcare,Self-employed,Male,56,Divorced,40233
32,PhD,6,Business Analyst,Boston,Finance,Self-employed,Male,46,Divorced,87909
37,PhD,8,Data Analyst,San Diego,Biotech,Private,Male,42,Married,79828
54,High School,15,Marketing Manager,Hyderabad,Tech,Self-employed,Female,41,Divorced,41041
30,PhD,4,ML Engineer,Mumbai,Healthcare,Government,Female,56,Married,57206
27,Bachelor's,1,Project Manager,San Francisco,Tech,Government,Female,35,Married,116262
37,Bachelor's,10,Software Engineer,Delhi,Biotech,Self-employed,Female,48,Single,47820
50,Bachelor's,17,ML Engineer,Mumbai,Finance,Private,Male,49,Married,63599
24,PhD,18,Project Manager,Hyderabad,Tech,Government,Female,45,Divorced,49617
41,Bachelor's,12,Software Engineer,Chicago,Retail,Private,Male,50,Married,123926
57,Bachelor's,10,Data Analyst,Boston,Tech,Government,Female,45,Married,84441
40,High School,19,Marketing Manager,Austin,Tech,Self-employed,Female,41,Divorced,103143
47,High School,18,Data Engineer,New York,Biotech,Self-employed,Male,58,Divorced,184427
24,Master's,16,Data Engineer,Bangalore,Healthcare,Private,Male,49,Single,59499
40,Master's,4,Project Manager,Hyderabad,Healthcare,Self-employed,Female,49,Divorced,40892
41,Master's,12,Marketing Manager,San Francisco,Biotech,Private,Male,55,Married,117598
53,Master's,19,Project Manager,Kolkata,Tech,Private,Male,42,Divorced,51530
28,High School,0,Data Analyst,Austin,Tech,Government,Female,30,Divorced,54128
54,High School,9,Software Engineer,Atlanta,Consulting,Government,Male,47,Single,104229
60,High School,7,Marketing Manager,New York,Retail,Self-employed,Male,31,Married,112870
39,Bachelor's,7,ML Engineer,Delhi,Finance,Private,Male,31,Single,59581
22,Bachelor's,18,Software Engineer,Seattle,Finance,Government,Female,55,Single,142029
32,Master's,5,ML Engineer,Atlanta,Healthcare,Self-employed,Male,30,Married,122563
49,Bachelor's,11,ML Engineer,Atlanta,Biotech,Self-employed,Male,39,Divorced,138379
46,PhD,6,Data Analyst,Boston,Tech,Government,Male,59,Married,77462
44,High School,15,Data Scientist,Denver,Retail,Self-employed,Female,53,Single,147514
52,Master's,8,Data Scientist,Delhi,Finance,Government,Female,30,Single,47383
51,Master's,9,Marketing Manager,Hyderabad,Biotech,Private,Female,43,Married,37194
56,PhD,9,Business Analyst,Hyderabad,Biotech,Self-employed,Male,37,Single,38822
28,Bachelor's,9,Research Scientist,Seattle,Tech,Private,Female,30,Divorced,145954
37,Master's,19,Data Scientist,Kolkata,Retail,Government,Male,43,Divorced,54781
47,Bachelor's,15,Marketing Manager,New York,Biotech,Private,Female,39,Married,119716
23,Bachelor's,0,ML Engineer,Bangalore,Finance,Government,Female,48,Married,54866
22,PhD,16,Data Engineer,Boston,Consulting,Self-employed,Male,54,Divorced,144651
33,Master's,13,Data Scientist,Delhi,Finance,Self-employed,Male,37,Married,51797
26,Bachelor's,18,Data Analyst,Mumbai,Retail,Self-employed,Male,31,Divorced,41424
58,Bachelor's,16,Marketing Manager,Seattle,Consulting,Private,Male,33,Divorced,99841
53,PhD,13,Research Scientist,Austin,Biotech,Private,Male,53,Divorced,135999
30,PhD,7,Project Manager,Chicago,Finance,Private,Male,41,Divorced,96199
56,Bachelor's,8,Business Analyst,Delhi,Tech,Government,Male,58,Married,35515
40,PhD,7,ML Engineer,Chennai,Retail,Self-employed,Female,38,Divorced,58000
37,Bachelor's,12,ML Engineer,New York,Biotech,Private,Female,52,Divorced,179710
24,Master's,16,Project Manager,Delhi,Tech,Government,Female,30,Single,49345
41,High School,18,Data Scientist,Boston,Consulting,Private,Male,37,Single,155010
45,PhD,6,Data Engineer,Hyderabad,Healthcare,Government,Female,59,Single,50490
54,High School,16,Project Manager,Bangalore,Healthcare,Self-employed,Male,57,Single,52056
45,Bachelor's,0,Data Engineer,Chicago,Consulting,Private,Female,46,Married,116621
32,Bachelor's,4,ML Engineer,Kolkata,Healthcare,Self-employed,Female,45,Single,57112
29,Bachelor's,5,Research Scientist,Kolkata,Retail,Private,Male,44,Single,47294
57,High School,1,Data Scientist,New York,Biotech,Government,Female,38,Single,138218
59,Bachelor's,15,Marketing Manager,Mumbai,Biotech,Self-employed,Female,37,Married,42966
41,PhD,4,ML Engineer,Atlanta,Retail,Private,Female,49,Divorced,122580
56,Master's,4,Project Manager,Chicago,Finance,Private,Female,55,Single,107478
46,Master's,11,Data Engineer,Bangalore,Biotech,Self-employed,Female,43,Divorced,53814
56,PhD,2,Data Engineer,Chicago,Healthcare,Government,Male,41,Single,110956
46,Master's,15,ML Engineer,Chennai,Retail,Self-employed,Male,56,Married,65564
50,High School,5,ML Engineer,San Francisco,Tech,Private,Female,44,Married,159458
39,Bachelor's,14,Research Scientist,Kolkata,Finance,Self-employed,Male,33,Married,59353
39,Bachelor's,14,Research Scientist,New York,Tech,Self-employed,Male,59,Divorced,185639
23,Bachelor's,15,HR Manager,Seattle,Healthcare,Government,Female,33,Married,102492
56,High School,19,Project Manager,Denver,Tech,Government,Male,51,Divorced,126763
37,High School,12,Data Analyst,Austin,Healthcare,Self-employed,Male,31,Married,74020
57,High School,11,Project Manager,Delhi,Biotech,Government,Male,33,Single,47331
54,PhD,9,Research Scientist,Miami,Finance,Government,Female,49,Single,118710
25,High School,13,HR Manager,Hyderabad,Consulting,Private,Female,53,Single,39950
54,Master's,1,Data Scientist,Chennai,Healthcare,Government,Female,47,Single,49187
35,PhD,2,ML Engineer,Boston,Retail,Self-employed,Female,44,Divorced,136717
42,PhD,8,Business Analyst,Chicago,Retail,Self-employed,Female,37,Married,94810
41,PhD,10,Project Manager,San Diego,Biotech,Private,Female,57,Divorced,109200
29,High School,10,Project Manager,Delhi,Retail,Private,Female,39,Divorced,43039
28,PhD,9,Software Engineer,Chicago,Tech,Private,Male,56,Single,114745
24,High School,13,Research Scientist,Atlanta,Biotech,Self-employed,Female,31,Married,131930
38,High School,8,Business Analyst,Delhi,Retail,Self-employed,Male,54,Divorced,39759
54,PhD,19,Marketing Manager,New York,Tech,Government,Female,38,Divorced,145265
33,Bachelor's,9,Software Engineer,Hyderabad,Tech,Private,Female,45,Divorced,43287
43,Bachelor's,8,Data Analyst,Atlanta,Tech,Government,Female,51,Divorced,57424
43,PhD,4,Project Manager,Kolkata,Retail,Government,Female,55,Married,42460
51,Bachelor's,7,HR Manager,Denver,Tech,Self-employed,Male,41,Single,84286
59,Master's,10,HR Manager,Austin,Finance,Government,Female,34,Single,81493
59,Master's,0,Marketing Manager,Hyderabad,Retail,Private,Male,36,Divorced,31003
29,High School,9,Data Engineer,San Francisco,Tech,Private,Male,44,Married,158479
48,Bachelor's,0,Software Engineer,New York,Finance,Self-employed,Male,42,Married,131851
48,Master's,6,Software Engineer,Bangalore,Consulting,Self-employed,Female,37,Divorced,45784
55,PhD,13,HR Manager,Atlanta,Finance,Self-employed,Female,53,Married,84386
42,Bachelor's,4,HR Manager,Mumbai,Retail,Private,Male,48,Divorced,30484
51,Master's,16,ML Engineer,San Francisco,Retail,Self-employed,Female,48,Single,193539
54,Master's,5,HR Manager,Miami,Tech,Private,Female,34,Single,68503
49,PhD,15,Research Scientist,Miami,Retail,Government,Female,50,Single,142603
54,High School,10,HR Manager,New York,Consulting,Self-employed,Male,47,Divorced,108744
26,PhD,9,Software Engineer,Chennai,Biotech,Self-employed,Male,50,Divorced,44859
40,High School,14,ML Engineer,Austin,Finance,Self-employed,Male,46,Single,144023
25,Master's,6,Data Analyst,San Diego,Biotech,Private,Male,56,Divorced,79195
56,High School,1,Software Engineer,Chicago,Consulting,Government,Male,36,Married,107304
38,Master's,11,HR Manager,Seattle,Finance,Self-employed,Female,43,Single,88201
49,Master's,18,HR Manager,Austin,Tech,Government,Male,44,Married,90409
51,Bachelor's,11,HR Manager,Austin,Finance,Self-employed,Male,56,Married,89223
50,High School,15,ML Engineer,San Diego,Tech,Private,Male,52,Divorced,151878
27,High School,5,Project Manager,Kolkata,Healthcare,Government,Male,46,Divorced,40742
56,High School,2,ML Engineer,Atlanta,Finance,Government,Female,32,Single,118042
58,PhD,1,Data Scientist,Chennai,Finance,Self-employed,Female,53,Divorced,47427
45,Bachelor's,19,Research Scientist,San Francisco,Biotech,Government,Male,42,Divorced,183272
50,Bachelor's,4,Business Analyst,Mumbai,Biotech,Private,Female,40,Married,33607
52,Bachelor's,10,Research Scientist,New York,Consulting,Government,Male,54,Divorced,171702
56,PhD,2,HR Manager,Bangalore,Tech,Government,Male,32,Single,31191
54,High School,2,Business Analyst,Seattle,Retail,Government,Male,59,Divorced,90798
42,High School,4,Data Analyst,San Francisco,Biotech,Government,Female,35,Single,84438
53,High School,10,Data Engineer,Chicago,Consulting,Self-employed,Female,35,Married,136747
44,Bachelor's,2,Software Engineer,Seattle,Tech,Self-employed,Male,51,Married,109246
54,Bachelor's,12,Project Manager,Chennai,Tech,Government,Male,50,Married,42859
24,Master's,7,Data Engineer,Chennai,Tech,Government,Male,35,Single,49841
39,PhD,19,ML Engineer,Miami,Healthcare,Private,Female,35,Married,145409
46,PhD,9,Data Scientist,Chennai,Tech,Self-employed,Male,55,Married,45829
52,Bachelor's,1,Marketing Manager,Austin,Consulting,Self-employed,Male,35,Divorced,73090
24,Master's,3,Research Scientist,Chicago,Tech,Self-employed,Female,58,Single,133148
45,High School,17,Data Engineer,Kolkata,Retail,Government,Male,53,Married,60712
53,Bachelor's,18,Data Scientist,Denver,Retail,Self-employed,Female,43,Divorced,147900
43,PhD,3,HR Manager,Miami,Tech,Private,Male,40,Divorced,68782
44,PhD,19,ML Engineer,Kolkata,Consulting,Private,Female,45,Married,67310
23,PhD,8,ML Engineer,Chicago,Finance,Private,Male,51,Single,154476
48,High School,15,Software Engineer,Atlanta,Tech,Private,Male,57,Married,123971
23,PhD,5,Business Analyst,Hyderabad,Consulting,Private,Female,48,Divorced,34830
47,High School,3,Business Analyst,Denver,Biotech,Self-employed,Male,36,Single,91544
38,High School,8,Data Engineer,New York,Consulting,Government,Female,35,Divorced,164577
54,High School,12,Data Analyst,Chennai,Healthcare,Government,Male,59,Married,34901
30,Bachelor's,8,Business Analyst,Bangalore,Biotech,Government,Female,40,Single,39175
60,High School,5,Business Analyst,San Francisco,Retail,Government,Male,54,Married,110120
50,Master's,18,HR Manager,Chennai,Retail,Self-employed,Female,33,Married,39436
47,PhD,13,HR Manager,Chicago,Finance,Self-employed,Female,30,Married,88147
56,Bachelor's,14,Data Scientist,Miami,Finance,Self-employed,Male,51,Divorced,127725
46,PhD,2,ML Engineer,Atlanta,Consulting,Private,Male,38,Single,115648
45,High School,4,ML Engineer,Atlanta,Consulting,Government,Female,42,Single,117948
34,Bachelor's,17,ML Engineer,Mumbai,Tech,Self-employed,Female,37,Divorced,61449
28,Master's,13,Data Scientist,Miami,Tech,Self-employed,Female,31,Single,120259
57,High School,15,Marketing Manager,Delhi,Retail,Self-employed,Male,45,Single,42749
41,PhD,13,HR Manager,Chicago,Healthcare,Government,Female,48,Married,98275
22,Master's,8,Data Scientist,Seattle,Tech,Government,Female,37,Married,130253
29,High School,14,ML Engineer,Boston,Retail,Private,Female,41,Divorced,156043
37,Master's,6,Data Engineer,Delhi,Consulting,Private,Male,40,Single,51015
35,High School,13,HR Manager,Chennai,Consulting,Private,Male,38,Divorced,40092
33,Bachelor's,5,Project Manager,Boston,Tech,Government,Male,53,Divorced,102320
44,High School,14,Business Analyst,Miami,Healthcare,Private,Female,39,Divorced,94568
36,Bachelor's,19,HR Manager,Chennai,Retail,Private,Female,30,Divorced,43799
49,High School,7,HR Manager,Atlanta,Consulting,Self-employed,Male,48,Married,66671
55,High School,1,ML Engineer,San Francisco,Retail,Government,Male,58,Divorced,158401
23,PhD,7,Research Scientist,Atlanta,Healthcare,Private,Male,56,Single,117817
53,Master's,0,Marketing Manager,Chennai,Consulting,Private,Male,53,Married,33037
44,Master's,16,HR Manager,San Diego,Retail,Government,Female,46,Married,97114
43,Master's,18,Data Scientist,Atlanta,Healthcare,Private,Male,57,Divorced,131925
46,High School,4,Data Analyst,Miami,Healthcare,Government,Male,52,Married,59270
